Record_ID,Paper_ID,Title,Authors,Year,Publication_Source,DOI_or_URL,Publication_Type,Abstract,Keywords,Thematic_Tags,RMP_Themes,RMP_Spatial_Themes,Method_Tags,Results_Summary,Data_Availability,Objective_I,Objective_II,Objective_III,Objective_IV,Objective_V,Objective_VI,Objective_VII,Objective_VIII,Objective_IX,Objective_X,Objective_XI,Management_zones,CCAMLR_Area,Monitoring_areas,Named_Features,Coordinates_Info,WKT_Geometry,Data_location,Research_start_date,Research_end_date,Temporal_Scale,Spatial_Scale,Proposing_party,Project_status,Funding_Source,Species_List,Primary_contact,CCAMLR_Objectives_Text
SYNTH_0011,SYN_011,Sponge gardens: biodiversity hotspots on the continental shelf,Garcia GH; White IJ; Brown KL,2019,Marine Biology,10.1007/s00227-019-3567-8,Journal article,"ROV surveys documented extensive hexactinellid sponge gardens across 340 km² of Antarctic continental shelf. These three-dimensional structures harbor exceptional biodiversity with over 200 associated species including endemic amphipods, polychaetes, and bryozoans. Sponge gardens create complex habitat supporting 3x higher species richness than surrounding soft sediments. Age estimates suggest some sponge individuals exceed 500 years, highlighting vulnerability to disturbance.",Sponge gardens; Hexactinellid; Biodiversity; Continental shelf; Endemic species; Habitat complexity,21,21: Benthic community structure & function,Continental shelf/slope (GPZ/SRZ),ROV Operations; Field Sampling; Taxonomic Analysis,Documented extensive sponge gardens and associated biodiversity,Public (See article),1,1,1,1,0,0,0,0,0,1,0,GPZ,88.1,Marine Continental Shelf,"Continental Shelf, Marine Zone",-76.5 -175.1,"POLYGON ((-76.0 -176.0, -76.0 -174.0, -77.5 -174.0, -77.5 -176.0, -76.0 -176.0))",See article,2017,2018,Multi-year,Zone-wide,New Zealand,Complete,NIWA,Hexactinellida; Amphipoda; Polychaeta,garcia@niwa.co.nz,"(i) conserve natural ecological structure | (ii) scientific reference areas | (iii) promote research | (iv) representativeness of benthic and pelagic environments | (x) rare or vulnerable marine habitats"
SYNTH_0012,SYN_012,Toothfish spawning migration patterns revealed by satellite tags,Taylor MN; Davis OP; Wilson QR,2020,Marine Ecology Progress Series,10.3354/meps13456,Journal article,"Pop-up satellite archival tags deployed on 31 adult Antarctic toothfish revealed consistent northward spawning migrations to seamount regions. Fish traveled up to 800 km from feeding areas on the continental shelf to spawning grounds near northern seamounts. Migration timing coincided with austral winter months (May-August). Results provide first direct evidence of toothfish life cycle connectivity between shelf and seamount populations.",Antarctic toothfish; Spawning migration; Pop-up tags; Seamounts; Life cycle; Connectivity,28,28: Toothfish spawning migrations,Seamounts/Northern RSR,Tagging/Tracking; Field Sampling; Statistical Analysis,Documented toothfish spawning migrations and seamount connectivity,Restricted (Fisheries sensitive),1,1,1,0,0,0,0,1,1,0,0,GPZ SRZ,88.1,Northern Seamount Zone,"Northern Seamount, Seamount Zone, Continental Shelf",-71.9 -173.8,"POLYGON ((-71.5 -175.0, -71.5 -172.5, -72.5 -172.5, -72.5 -175.0, -71.5 -175.0))",Contact corresponding author,2017,2019,Multi-year,RSRMPA-wide,USA,Complete,NOAA Fisheries,Dissostichus mawsoni,taylor@noaa.gov,"(i) conserve natural ecological structure | (ii) scientific reference areas | (iii) promote research | (viii) coastal/localized areas of particular ecosystem importance | (ix) toothfish life cycle areas"
SYNTH_0013,SYN_013,Macro-algae blooms under fast ice provide critical winter habitat,Peterson ST; Lee UV; Clark WX,2018,Limnology and Oceanography,10.1002/lno.10876,Journal article,"Under-ice macro-algae blooms in Antarctic marine zones create critical winter habitat for invertebrates and fish. Blooms of Himantothallus grandifolius and Phyllophora antarctica cover up to 15% of sub-ice seafloor during winter months. These algal mats support dense communities of amphipods, isopods, and juvenile fish including Antarctic silverfish. Primary production rates under fast ice were 40% higher than previously estimated.",Macro-algae; Under-ice; Fast ice; Winter habitat; Primary production; Marine Sound,15,15: Under-ice & ice shelf habitat importance,Continental shelf/slope (GPZ/SRZ),Field Sampling; ROV Operations; Laboratory Analysis,Quantified under-ice algal production and habitat importance,Public (See article),1,1,1,0,1,1,0,1,0,0,0,GPZ,88.1,Marine Sound Zone,"Marine Sound, Fast Ice",-77.8 -166.6,"POLYGON ((-77.5 -167.5, -77.5 -165.5, -78.2 -165.5, -78.2 -167.5, -77.5 -167.5))",See article,2015,2017,Multi-year,Zone-wide,USA,Complete,NSF; ANT,Himantothallus grandifolius; Phyllophora antarctica,peterson@usap.gov,"(i) conserve natural ecological structure | (ii) scientific reference areas | (iii) promote research | (vi) trophically dominant pelagic prey species | (viii) coastal/localized areas of particular ecosystem importance"
SYNTH_0014,SYN_014,Emperor penguin colony dynamics in response to sea ice variability,Johnson YZ; Garcia AB; Smith CD,2019,Ecology,10.1002/ecy.2788,Journal article,"Multi-year monitoring of emperor penguin colonies at three Antarctic sites reveals strong responses to sea ice timing and extent. Colony size varied by up to 45% between years depending on fast ice formation dates. Early ice breakup (<November 15) resulted in 30% lower breeding success. Satellite imagery analysis identified 2 previously unknown small colonies and confirmed abandonment of 1 historical site due to changing ice conditions.",Emperor penguin; Colony dynamics; Sea ice; Breeding success; Remote sensing; Antarctica,17,17: Seal & penguin foraging movements,Continental shelf/slope (GPZ/SRZ),Remote Sensing; Field Sampling; Long-term Monitoring,Quantified emperor penguin responses to sea ice variability,Public (See article),1,1,1,0,0,0,1,1,0,0,1,GPZ,88.1,Southwestern Marine Zone,"Southern Peninsula, Southwestern Marine Area, Sea Ice",-76.2 -158.1,"POLYGON ((-75.8 -159.0, -75.8 -157.0, -76.8 -157.0, -76.8 -159.0, -75.8 -159.0))",See article,2012,2018,Multi-year,Zone-wide,France,Complete,IPEV; ANR,Aptenodytes forsteri,johnson@ipev.fr,"(i) conserve natural ecological structure | (ii) scientific reference areas | (iii) promote research | (vii) key top predator foraging distributions | (viii) coastal/localized areas of particular ecosystem importance | (xi) climate change reference"
SYNTH_0015,SYN_015,Phytoplankton community succession in Antarctic seasonal cycles,Anderson EF; Taylor GH; Wilson IJ,2017,Journal of Marine Systems,10.1016/j.jmarsys.2017.03.008,Journal article,"Monthly sampling throughout the austral summer revealed distinct phytoplankton succession patterns in Antarctic marine waters. Early season communities were dominated by Phaeocystis antarctica, followed by diatom blooms (primarily Fragilariopsis species) in mid-summer. Late season assemblages showed increased mixotrophy and nanoflagellate abundance. Succession patterns varied between polynya and ice-edge environments, with implications for food web structure and carbon export.",Phytoplankton; Community succession; Seasonal cycle; Diatoms; Phaeocystis; Antarctic,13,13: Trophic productivity at ice edges,Continental shelf/slope (GPZ/SRZ),Field Sampling; Laboratory Analysis; Microscopy,Characterized seasonal phytoplankton succession patterns,Public (See article),1,0,1,0,1,1,0,1,0,0,0,GPZ,88.1,Marine Polynya Zone,"Marine Polynya, Central Marine Zone",-75.4 -174.2,"POLYGON ((-75.0 -176.0, -75.0 -172.0, -76.0 -172.0, -76.0 -176.0, -75.0 -176.0))",See article,2014,2016,Multi-year,Zone-wide,Italy,Complete,PNRA,Phaeocystis antarctica; Fragilariopsis curta,anderson@ogs.trieste.it,"(i) conserve natural ecological structure | (iii) promote research | (v) large-scale ecosystem processes/areas | (vi) trophically dominant pelagic prey species | (viii) coastal/localized areas of particular ecosystem importance"
SYNTH_0016,SYN_016,Deep-sea fish communities on the Antarctic continental slope,Brown KL; Davis MN; Kim OP,2021,Deep Sea Research Part I,10.1016/j.dsr.2021.103445,Journal article,"Trawl surveys along the Antarctic continental slope (400-1500m depth) documented diverse deep-sea fish assemblages including 34 species across 15 families. Nototheniids dominated shallow slope communities while liparids increased in abundance with depth. Three potentially new species were collected including one Paraliparis and two Careproctus. Community structure showed distinct depth zonation patterns related to water mass characteristics and food availability.",Deep-sea fish; Continental slope; Nototheniidae; Liparidae; Depth zonation; Antarctic,18,18: Demersal fish community ecology,Continental shelf/slope (GPZ/SRZ),Field Sampling; Trawling; Taxonomic Analysis,Characterized deep-sea fish communities and depth distribution patterns,Public (See article),1,1,1,1,0,0,0,0,0,0,0,GPZ,88.1,Marine Continental Slope,"Continental Slope, Marine Zone",-77.2 -175.8,"POLYGON ((-76.8 -177.0, -76.8 -174.5, -78.0 -174.5, -78.0 -177.0, -76.8 -177.0))",See article,2018,2020,Multi-year,Zone-wide,New Zealand,Complete,NIWA; Fisheries New Zealand,Nototheniidae; Liparidae; Paraliparis; Careproctus,brown@niwa.co.nz,"(i) conserve natural ecological structure | (ii) scientific reference areas | (iii) promote research | (iv) representativeness of benthic and pelagic environments"
SYNTH_0017,SYN_017,Ice shelf basal melting drives unique marine ecosystems,Chen QR; Lopez ST; Ahmed UV,2020,Nature Geoscience,10.1038/s41561-020-0598-9,Journal article,"ROV exploration beneath Antarctic ice shelves revealed unexpected marine ecosystems supported by basal melting processes. Ice shelf cavities harbor specialized communities including filter-feeding amphipods, bacterial mats, and endemic fish species adapted to near-freezing temperatures and low light conditions. Basal melt rates averaged 0.2 m/year, creating nutrient-rich plumes that support primary production in cavity environments.",Ice shelf; Basal melting; Ice shelf cavity; Endemic species; ROV exploration; Marine ecosystems,15,15: Under-ice & ice shelf habitat importance,Entire RSR,ROV Operations; Ice Measurements; Field Sampling,Discovered unique ice shelf cavity ecosystems and basal melt processes,Public (See article),1,1,1,1,1,0,0,1,0,1,0,GPZ,88.1,Ice Shelf Zone,"Marine Ice Shelf, Ice Shelf Cavity",-81.5 -175.0,"POLYGON ((-81.0 -180.0, -81.0 -170.0, -82.5 -170.0, -82.5 -180.0, -81.0 -180.0))",See article,2017,2019,Multi-year,Zone-wide,USA,Complete,NSF; NASA,Amphipoda; Endemic fish species,chen@stanford.edu,"(i) conserve natural ecological structure | (ii) scientific reference areas | (iii) promote research | (iv) representativeness of benthic and pelagic environments | (v) large-scale ecosystem processes/areas | (viii) coastal/localized areas of particular ecosystem importance | (x) rare or vulnerable marine habitats"
SYNTH_0018,SYN_018,Crabeater seal population recovery following historical exploitation,Wilson WX; Garcia YZ; Taylor AB,2018,Conservation Biology,10.1111/cobi.13124,Journal article,"Aerial surveys and genetic analysis indicate crabeater seal populations in Antarctic marine areas have recovered to pre-exploitation levels following cessation of sealing activities in the 1960s. Current population estimates suggest 45000-60000 individuals within MPA boundaries. Genetic diversity remains high with no evidence of bottleneck effects. Population growth rates averaged 3.2% annually from 1990-2015, demonstrating successful conservation outcomes.",Crabeater seal; Population recovery; Conservation; Aerial surveys; Genetic diversity; Historical exploitation,7,7: Prey availability effects on predators,Continental shelf/slope (GPZ/SRZ),Aerial Surveys; Genomic/Molecular; Statistical Analysis,Documented population recovery and conservation success,Public (See article),1,0,1,0,0,0,1,0,0,0,0,GPZ,88.1,Western Marine Zone,"Western Marine Area, Pack Ice",-75.9 -170.8,"POLYGON ((-75.5 -172.0, -75.5 -169.5, -76.5 -169.5, -76.5 -172.0, -75.5 -172.0))",See article,1990,2017,Decadal,RSRMPA-wide,Multiple,Complete,National programs,Lobodon carcinophaga,wilson@aad.gov.au,"(i) conserve natural ecological structure | (iii) promote research | (vii) key top predator foraging distributions"
SYNTH_0019,SYN_019,Antarctic Islands: refugia for endemic marine invertebrates,Peterson CD; Lee EF; Anderson GH,2019,Journal of Biogeography,10.1111/jbi.13678,Journal article,"Comprehensive taxonomic surveys of remote Antarctic islands marine invertebrates revealed exceptional endemism with 23% of species found nowhere else. These remote islands serve as refugia for ancient lineages including primitive hexactinellid sponges and unique echinoderm taxa. Phylogenetic analysis suggests long-term isolation has driven speciation. The islands represent critical biodiversity conservation priorities within marine protected area frameworks.",Antarctic Islands; Endemism; Marine invertebrates; Refugia; Biodiversity; Phylogenetics,26,26: Endemic benthos on remote islands,Remote Islands,Field Sampling; Taxonomic Analysis; Phylogenetic Analysis,Documented exceptional endemism and refugia significance,Public (See article),1,1,1,1,0,0,0,0,0,1,0,GPZ,88.1,Remote Island Zone,"Remote Antarctic Islands, Island Marine Zone",-69.2 -163.7,"POLYGON ((-68.8 -164.5, -68.8 -162.8, -69.8 -162.8, -69.8 -164.5, -68.8 -164.5))",See article,2016,2018,Multi-year,Zone-wide,Multiple,Complete,International programs,Hexactinellida; Echinodermata,peterson@university.edu,"(i) conserve natural ecological structure | (ii) scientific reference areas | (iii) promote research | (iv) representativeness of benthic and pelagic environments | (x) rare or vulnerable marine habitats"
SYNTH_0020,SYN_020,Marine mammal acoustic behavior in Antarctic waters,Roberts EF; Zhang GH; Martinez IJ,2019,The Journal of the Acoustical Society of America,10.1121/1.5089891,Journal article,"Passive acoustic monitoring of marine mammals in Antarctic waters from 2016-2018 revealed distinct seasonal patterns in call production and behavior. Leopard seals showed increased vocal activity during breeding season (November-February) with 67% of calls recorded during this period. Minke whale calls peaked during feeding season coinciding with krill abundance. Results provide baseline data for long-term acoustic monitoring programs in marine protected areas.",Marine mammals; Acoustic monitoring; Leopard seal; Minke whale; Seasonal behavior; Antarctica,14,14: Marine mammal acoustic behavior,Continental shelf/slope (GPZ/SRZ),Acoustic Methods; Long-term Monitoring; Statistical Analysis,Established baseline acoustic behavior patterns for marine mammals,Public (Acoustic database),1,0,1,0,0,0,1,1,0,0,0,GPZ,88.1,Marine Acoustic Monitoring Zone,"Marine Sound, Acoustic Monitoring Area",-76.3 -169.4,"POLYGON ((-76.0 -170.5, -76.0 -168.2, -77.0 -168.2, -77.0 -170.5, -76.0 -170.5))",Acoustic database available,2016,2018,Multi-year,Zone-wide,Australia,Complete,Australian Research Council,Hydrurga leptonyx; Balaenoptera bonaerensis,roberts@aad.gov.au,"(i) conserve natural ecological structure | (iii) promote research | (vii) key top predator foraging distributions | (viii) coastal/localized areas of particular ecosystem importance"
